sku,codigo_fornecedor,descricao,ativo,marca,categoria
CP961,None,Laquila Capacetes,sim,laquila,capacetes
CP962,None,Laquila Capacetes,sim,laquila,capacetes
CP963,None,Laquila Capacetes,sim,laquila,capacetes
CP944,None,Laquila Capacetes,sim,laquila,capacetes
CP943,None,Laquila Capacetes,sim,laquila,capacetes
CP942,None,Laquila Capacetes,sim,laquila,capacetes
CP941,None,Laquila Capacetes,sim,laquila,capacetes
CP911,None,Laquila Capacetes,sim,laquila,capacetes
CP912,None,Laquila Capacetes,sim,laquila,capacetes
CP923,None,Laquila Capacetes,sim,laquila,capacetes
CP924,None,Laquila Capacetes,sim,laquila,capacetes
CP925,None,Laquila Capacetes,sim,laquila,capacetes
CP926,None,Laquila Capacetes,sim,laquila,capacetes
CP927,None,Laquila Capacetes,sim,laquila,capacetes
CP928,None,Laquila Capacetes,sim,laquila,capacetes
CP929,None,Laquila Capacetes,sim,laquila,capacetes
CP964,None,Laquila Capacetes,sim,laquila,capacetes
