sku,vehicletype,desc,brandid,categoryid,codigo_fornecedor,ean,gtin
"AUGI100","carro","Gauss Bobina de Ignição","25","113","GC4131","8511.30.20","8511.30.20"
"AUGI101","carro","Gauss Bobina de Ignição","25","113","GC4132","8511.30.20","8511.30.20"
"AUGI102","carro","Gauss Bobina de Ignição","25","113","GC4133","8511.30.20","8511.30.20"
"AUGI103","carro","Gauss Bobina de Ignição","25","113","GC4135","8511.30.20","8511.30.20"
"AUGI104","carro","Gauss Bobina de Ignição","25","113","GC4138","8511.30.20","8511.30.20"
"AUGI105","carro","Gauss Bobina de Ignição","25","113","GC4151","8511.30.20","8511.30.20"
"AUGI106","carro","Gauss Bobina de Ignição","25","113","GC4154","8511.30.20","8511.30.20"
"AUGI107","carro","Gauss Bobina de Ignição","25","113","GC4160","8511.30.20","8511.30.20"
"AUGI108","carro","Gauss Bobina de Ignição","25","113","GC4162","8511.30.20","8511.30.20"
"AUGI109","carro","Gauss Bobina de Ignição","25","113","GC4164","8511.30.20","8511.30.20"
"AUGI110","carro","Gauss Bobina de Ignição","25","113","GC4171","8511.30.20","8511.30.20"
"AUGI111","carro","Gauss Bobina de Ignição","25","113","GC4174","8511.30.20","8511.30.20"
"AUGI112","carro","Gauss Bobina de Ignição","25","113","GC4181","8511.30.20","8511.30.20"
"AUGI113","carro","Gauss Bobina de Ignição","25","113","GC4200","8511.30.20","8511.30.20"
"AUGI114","carro","Gauss Bobina de Ignição","25","113","GC4202","8511.30.20","8511.30.20"
"AUGI115","carro","Gauss Bobina de Ignição","25","113","GC4203","8511.30.20","8511.30.20"
"AUGI116","carro","Gauss Bobina de Ignição","25","113","GC4212","8511.30.20","8511.30.20"
"AUGI117","carro","Gauss Bobina de Ignição","25","113","GC4213","8511.30.20","8511.30.20"
"AUGI118","carro","Gauss Bobina de Ignição","25","113","GC4214","8511.30.20","8511.30.20"
"AUGI119","carro","Gauss Bobina de Ignição","25","113","GC4215","8511.30.20","8511.30.20"
"AUGI120","carro","Gauss Bobina de Ignição","25","113","GC4220","8511.30.20","8511.30.20"
"AUGI121","carro","Gauss Bobina de Ignição","25","113","GC4222","8511.30.20","8511.30.20"
"AUGI122","carro","Gauss Bobina de Ignição","25","113","GC4227","8511.30.20","8511.30.20"
"AUGI123","carro","Gauss Bobina de Ignição","25","113","GC4230","8511.30.20","8511.30.20"
"AUGI124","carro","Gauss Bobina de Ignição","25","113","GC4232","8511.30.20","8511.30.20"
"AUGI125","carro","Gauss Bobina de Ignição","25","113","GC4235","8511.30.20","8511.30.20"
"AUGI126","carro","Gauss Bobina de Ignição","25","113","GC4239","8511.30.20","8511.30.20"
"AUGI127","carro","Gauss Bobina de Ignição","25","113","GC4240","8511.30.20","8511.30.20"
"AUGI128","carro","Gauss Bobina de Ignição","25","113","GC4243","8511.30.20","8511.30.20"
"AUGI129","carro","Gauss Bobina de Ignição","25","113","GC4248","8511.30.20","8511.30.20"
"AUGI130","carro","Gauss Bobina de Ignição","25","113","GC4250","8511.30.20","8511.30.20"
"AUGI131","carro","Gauss Bobina de Ignição","25","113","GC4251","8511.30.20","8511.30.20"
"AUGI132","carro","Gauss Bobina de Ignição","25","113","GC4252","8511.30.20","8511.30.20"
"AUGI133","carro","Gauss Bobina de Ignição","25","113","GC4253","8511.30.20","8511.30.20"
"AUGI134","carro","Gauss Bobina de Ignição","25","113","GC4262","8511.30.20","8511.30.20"
"AUGI135","carro","Gauss Bobina de Ignição","25","113","GC4265","8511.30.20","8511.30.20"
"AUGI136","carro","Gauss Bobina de Ignição","25","113","GC4269","8511.30.20","8511.30.20"
"AUGI137","carro","Gauss Bobina de Ignição","25","113","GC4274","8511.30.20","8511.30.20"
"AUGI138","carro","Gauss Bobina de Ignição","25","113","GC4277","8511.30.20","8511.30.20"
"AUGI139","carro","Gauss Bobina de Ignição","25","113","GC4279","8511.30.20","8511.30.20"
"AUGI140","carro","Gauss Bobina de Ignição","25","113","GC4280","8511.30.20","8511.30.20"
"AUGI141","carro","Gauss Bobina de Ignição","25","113","GC4281","8511.30.20","8511.30.20"
"AUGI142","carro","Gauss Bobina de Ignição","25","113","GC4282","8511.30.20","8511.30.20"
"AUGI143","carro","Gauss Bobina de Ignição","25","113","GC4283","8511.30.20","8511.30.20"
"AUGI144","carro","Gauss Bobina de Ignição","25","113","GC4284","8511.30.20","8511.30.20"
"AUGI145","carro","Gauss Bobina de Ignição","25","113","GC4285","8511.30.20","8511.30.20"
"AUGI146","carro","Gauss Bobina de Ignição","25","113","GC4288","8511.30.20","8511.30.20"
"AUGI147","carro","Gauss Bobina de Ignição","25","113","GC4293","8511.30.20","8511.30.20"
"AUGI148","carro","Gauss Bobina de Ignição","25","113","GC4298","8511.30.20","8511.30.20"
"AUGI149","carro","Gauss Bobina de Ignição","25","113","GC4307","8511.30.20","8511.30.20"
"AUGI150","carro","Gauss Bobina de Ignição","25","113","GC4312","8511.30.20","8511.30.20"
"AUGI151","carro","Gauss Bobina de Ignição","25","113","GC4325","8511.30.20","8511.30.20"
"AUGI152","carro","Gauss Bobina de Ignição","25","113","GC4346","8511.30.20","8511.30.20"
"AUGI153","carro","Gauss Bobina de Ignição","25","113","GC4353","8511.30.20","8511.30.20"
"AUGI154","carro","Gauss Bobina de Ignição","25","113","GC4370","8511.30.20","8511.30.20"
"AUGI155","carro","Gauss Bobina de Ignição","25","113","GC4371","8511.30.20","8511.30.20"
"AUGI156","carro","Gauss Bobina de Ignição","25","113","GC4372","8511.30.20","8511.30.20"
